"","pf.33","pf.34","pf.69","pf.83","pf.98","pf.177","pf.243","pf.260","pf.263","pf.264","pf.277","pf.280","pf.338","pf.340","pf.341","pf.353","pf.354","pf.356","pf.357","pf.370","pf.371","pf.373"
"PF3D7_1400200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1400300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1400400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1400500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1400600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1400700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1400800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1401000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1401100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1401200",0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1401300",0,0,0,0,435,0,0,0,0,0,0,255,0,46,0,0,0,0,0,0,0,0
"PF3D7_1401400",0,0,1288,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1401500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1401600",0,57,0,28,0,8,57,0,0,5,0,0,0,2788,0,0,0,0,14,0,0,0
"PF3D7_1401700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1401800",0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,43,0
"PF3D7_1401900",0,88,0,83,0,23,28,270,29,30,836,153,271,250,1,18,41,89,496,228,102,0
"PF3D7_1402000",0,0,0,0,0,0,8,0,0,0,0,51,0,0,0,0,0,0,243,0,0,0
"PF3D7_1402100",0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,98,0,0,3,0,0
"PF3D7_1402200",0,0,0,0,0,0,0,0,0,73,0,244,1,0,0,0,0,2,0,0,60,0
"PF3D7_1402300",0,0,0,0,0,13,0,0,0,0,0,0,31,0,2,0,0,0,0,0,0,0
"PF3D7_1402400",0,2,0,0,0,0,3,16,5,0,0,0,0,0,0,0,0,0,85,0,6,0
"PF3D7_1402500",0,0,4,25,62,3,0,0,12,0,0,1,0,22,0,0,44,0,78,0,0,0
"PF3D7_1402700",0,55,0,26,0,7,0,0,0,1,0,0,1,194,0,0,0,0,0,0,112,0
"PF3D7_1402800",12,0,7,23,32,0,1,0,3,0,0,109,5,0,0,1677,0,63,0,0,13,0
"PF3D7_1402900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1403000",0,35,0,0,0,0,327,0,0,0,0,0,0,0,3,93,3,1,0,0,0,0
"PF3D7_1403100",49,332,0,106,1,3,189,173,52,104,0,241,32,99,77,570,85,0,1223,1,65,36
"PF3D7_1403200",0,0,0,0,0,46,0,0,0,43,0,0,90,7,0,0,0,0,0,0,0,0
"PF3D7_1403300",0,43,0,0,0,7,188,105,0,0,0,193,0,0,52,1,7,0,141,0,0,86
"PF3D7_1403400",0,20,0,12,0,29,156,77,5,0,0,884,0,2,83,1024,0,0,24,0,0,210
"PF3D7_1403500",0,24,0,0,0,2,27,0,0,1,0,151,0,40,22,19,0,0,0,3,0,2
"PF3D7_1403600",0,0,0,0,0,0,0,51,0,0,1,0,0,0,338,0,0,0,0,1,0,1
"PF3D7_1403700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0
"PF3D7_1403800",0,315,0,33,0,19,451,275,11,17,0,588,0,115,110,1246,0,72,1398,0,18,873
"PF3D7_1403900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404000",10,0,4,6,297,2,0,0,41,27,15,0,82,139,0,0,19,31,0,0,62,0
"PF3D7_1404100",0,0,1,21,0,0,0,0,1,29,0,0,0,0,0,0,0,45,0,0,0,0
"PF3D7_1404200",3,27,0,77,0,18,6,0,184,90,1,352,33,84,0,0,8,48,181,0,0,853
"PF3D7_1404300",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404400",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404500",0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404600.1",0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404600.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404600.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404800",0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0
"PF3D7_1404900",0,3,8,0,14,8,0,7,0,0,0,3,2,19,181,0,82,7,0,7,0,59
"PF3D7_1405000",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"PF3D7_1405100",14,0,0,20,8,22,0,4,21,15,0,0,0,1,0,166,11,0,42,4,8,0
"PF3D7_1405200",0,0,0,0,0,4,0,0,0,2,88,0,0,0,0,0,0,0,0,0,0,2
"PF3D7_1405300",0,0,0,18,0,0,0,20,25,0,612,0,0,34,0,0,0,0,348,0,0,0
"PF3D7_1405400",0,37,0,0,0,26,0,163,5,0,0,0,0,0,0,186,0,0,0,0,0,0
"PF3D7_1405500",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"PF3D7_1405600",0,0,0,0,0,0,160,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"PF3D7_1405700",0,33,0,0,0,13,11,0,0,28,0,6,37,0,0,0,0,2,9,0,1,10
"PF3D7_1405800",1,47,0,34,0,0,0,0,27,1,0,0,1,256,63,15,0,1,0,0,17,0
"PF3D7_1405900",0,0,18,0,492,28,0,0,6,0,0,0,18,0,0,102,2,0,0,4,11,0
"PF3D7_1406000",1,0,0,7,0,0,0,0,9,1,0,0,0,0,0,0,0,49,0,0,0,0
"PF3D7_1406100",0,0,1,0,6,11,0,8,5,0,0,0,41,5,0,0,1,2,0,2,0,0
"PF3D7_1406200",16,0,300,14,344,20,292,98,0,17,0,84,29,788,456,497,33,0,0,1,201,32
"PF3D7_1406300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1406400",0,0,0,73,0,0,1,0,0,0,0,70,16,0,184,88,0,4,0,0,0,0
"PF3D7_1406500",0,12,0,4,0,0,78,23,0,0,33,11,0,0,24,113,0,0,11,0,0,0
"PF3D7_1406600",4,38,1,0,0,2,0,0,1,28,0,0,46,0,0,0,0,0,0,0,11,0
"PF3D7_1406700",0,0,0,0,0,1,0,0,0,39,0,4,1,0,0,0,0,0,0,0,10,0
"PF3D7_1406800",0,0,0,0,0,0,0,0,21,10,0,1,17,0,0,0,0,0,0,0,1,0
"PF3D7_1406900",0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1407000",0,0,0,0,0,11,0,0,44,273,0,0,30,459,0,0,0,23,0,1,2,0
"PF3D7_1407100",0,0,0,0,259,0,0,0,0,0,0,0,0,0,21,0,1,2,18,0,0,2
"PF3D7_1407200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"PF3D7_1407300",58,0,0,8,436,0,0,0,0,11,0,0,0,268,0,0,0,0,0,0,4,28
"PF3D7_1407400",5,0,0,0,0,22,0,0,15,0,0,0,1,3,0,0,0,8,2,33,6,158
"PF3D7_1407500",1,0,0,0,0,7,0,0,0,0,0,0,0,107,0,0,70,0,0,0,0,0
"PF3D7_1407600",4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1407700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1407800",0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1407900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1408000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1408100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1408200",0,0,0,1,0,3,0,123,0,12,0,11,40,0,198,7,8,19,118,89,33,573
"PF3D7_1408300",0,7,0,0,0,0,4,1,0,0,0,26,0,0,0,0,0,0,99,0,0,0
"PF3D7_1408400",12,107,0,4,28,0,47,339,0,0,0,810,0,1,369,242,4,0,184,0,0,339
"PF3D7_1408500",0,0,4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1408600",0,153,340,26,547,0,690,31,0,0,0,0,0,0,0,0,56,10,1129,0,0,154
"PF3D7_1408700",74,320,37,62,0,94,400,72,172,206,13,619,261,324,3042,604,27,68,874,5,165,316
"PF3D7_1408800",3,39,1,0,0,0,137,23,0,0,0,82,0,0,50,106,0,0,51,0,37,29
"PF3D7_1408900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1409000",0,0,0,3,0,0,0,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1409100",0,0,0,0,0,12,0,0,2,42,0,0,0,10,0,0,0,7,0,1,0,0
"PF3D7_1409200.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1409200.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1409300",0,0,0,9,0,0,0,0,0,0,0,0,64,0,0,40,0,7,0,55,0,0
"PF3D7_1409400",3,0,0,5,0,22,0,111,165,157,2,0,43,170,0,301,1,59,0,4,65,0
"PF3D7_1409500",0,0,0,33,0,0,0,0,0,0,0,75,0,60,0,0,0,0,0,0,5,0
"PF3D7_1409600",1,26,194,9,39,11,0,49,90,7,0,124,129,171,0,0,0,56,498,0,40,0
"PF3D7_1409700",4,0,1,0,17,0,0,0,0,49,0,13,0,74,1,0,0,0,0,0,0,0
"PF3D7_1409800",0,0,0,0,0,45,0,0,0,0,0,0,190,0,116,5,0,79,0,2,3,0
"PF3D7_1409900",40,164,0,93,15,11,65,0,6,82,2254,0,44,11,111,1,3,13,31,21,0,14
"PF3D7_1410000",4,0,0,0,0,33,0,0,1,10,0,0,0,11,0,0,0,1,0,5,0,0
"PF3D7_1410100",2,174,0,0,0,29,0,33,0,162,0,0,0,162,0,0,0,0,0,0,0,3
"PF3D7_1410200",0,59,0,23,1,10,0,0,0,36,0,0,2,18,0,0,0,0,0,0,0,0
"PF3D7_1410300",0,102,0,0,0,29,6,295,20,31,1,72,4,53,54,771,0,4,194,30,8,1
"PF3D7_1410400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1410500",0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1410600",33,0,0,0,0,28,0,0,0,0,0,0,0,1,0,0,0,107,0,0,0,0
"PF3D7_1410700",0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1410800",3,0,0,0,0,0,0,0,0,0,0,0,29,23,0,0,0,0,0,0,0,0
"PF3D7_1410900",0,32,166,5,0,5,0,0,7,0,0,57,50,0,238,0,0,0,0,0,0,0
"PF3D7_1411000.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1411000.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1411100.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1411100.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1411200",0,5,0,0,0,0,74,91,90,44,0,0,1,0,83,64,0,0,2,2,36,33
"PF3D7_1411300",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,45
"PF3D7_1411400",6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,145,0,0,0
"PF3D7_1411500",0,0,0,0,0,1,0,88,0,5,0,25,0,2,75,25,0,0,4,0,1,0
"PF3D7_1411600",0,0,0,0,0,0,0,0,0,28,0,0,0,0,4,0,0,7,0,0,0,0
"PF3D7_1411700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"PF3D7_1411800",0,1,0,0,0,0,11,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0
"PF3D7_1411900",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1412000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1412100",0,0,0,0,0,0,0,90,0,0,0,0,0,0,9,0,0,0,17,0,0,0
