"","pf.33","pf.34","pf.69","pf.83","pf.98","pf.177","pf.243","pf.260","pf.263","pf.264","pf.277","pf.280","pf.338","pf.340","pf.341","pf.353","pf.354","pf.356","pf.357","pf.370","pf.371","pf.373"
"PF3D7_1400200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1400300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1400400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1400500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1400600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1400700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1400800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1401000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1401100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1401200",0,0,0,0,8.17990909001493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1401300",0,0,0,0,8.76818432477693,0,0,0,0,0,0,8,0,5.55458885167764,0,0,0,0,0,0,0,0
"PF3D7_1401400",0,0,10.3320365483617,0,7.57742882803575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1401500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1401600",0,5.85798099512757,0,4.85798099512757,0,3.16992500144231,5.85798099512757,0,0,2.58496250072116,0,0,0,11.4455322190283,0,0,0,0,3.90689059560852,0,0,0
"PF3D7_1401700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1401800",0,0,0,2.8073549220576,0,0,0,0,0,1.58496250072116,0,0,0,0,0,0,0,0,0,0,5.4594316186373,0
"PF3D7_1401900",0,6.4757334309664,0,6.39231742277876,0,4.58496250072116,4.85798099512757,8.08214904135387,4.90689059560852,4.95419631038687,9.70908381255034,7.2667865406949,8.08746284125034,7.97154355395077,1,4.24792751344359,5.39231742277876,6.49185309632967,8.95710204156229,7.83920378809694,6.68650052718322,0
"PF3D7_1402000",0,0,0,0,0,0,3.16992500144231,0,0,0,0,5.70043971814109,0,0,0,0,0,0,7.93073733756289,0,0,0
"PF3D7_1402100",0,0,0,0,0,0,4.8073549220576,0,0,0,0,0,0,0,0,0,6.62935662007961,0,0,2,0,0
"PF3D7_1402200",0,0,0,0,0,0,0,0,0,6.20945336562895,0,7.93663793900257,1,0,0,0,0,1.58496250072116,0,0,5.93073733756289,0
"PF3D7_1402300",0,0,0,0,0,3.8073549220576,0,0,0,0,0,0,5,0,1.58496250072116,0,0,0,0,0,0,0
"PF3D7_1402400",0,1.58496250072116,0,0,0,0,2,4.08746284125034,2.58496250072116,0,0,0,0,0,0,0,0,0,6.4262647547021,0,2.8073549220576,0
"PF3D7_1402500",0,0,2.32192809488736,4.70043971814109,5.97727992349992,2,0,0,3.70043971814109,0,0,1,0,4.52356195605701,0,0,5.49185309632967,0,6.3037807481771,0,0,0
"PF3D7_1402700",0,5.8073549220576,0,4.75488750216347,0,3,0,0,0,1,0,0,1,7.60733031374961,0,0,0,0,0,0,6.82017896241519,0
"PF3D7_1402800",3.70043971814109,0,3,4.58496250072116,5.04439411935845,0,1,0,2,0,0,6.78135971352466,2.58496250072116,0,0,10.7125270004398,0,6,0,0,3.8073549220576,0
"PF3D7_1402900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1403000",0,5.16992500144231,0,0,0,0,8.35755200461808,0,0,0,0,0,0,0,2,6.55458885167764,2,1,0,0,0,0
"PF3D7_1403100",5.64385618977472,8.37937836707126,0,6.74146698640115,1,2,7.56985560833095,7.44294349584873,5.7279204545632,6.71424551766612,0,7.91886323727459,5.04439411935845,6.64385618977472,6.28540221886225,9.15734693536284,6.4262647547021,0,10.2573878426927,1,6.04439411935845,5.20945336562895
"PF3D7_1403200",0,0,0,0,0,5.55458885167764,0,0,0,5.4594316186373,0,0,6.5077946401987,3,0,0,0,0,0,0,0,0
"PF3D7_1403300",0,5.4594316186373,0,0,0,3,7.56224242422107,6.7279204545632,0,0,0,7.59991284218713,0,0,5.7279204545632,1,3,0,7.14974711950468,0,0,6.44294349584873
"PF3D7_1403400",0,4.39231742277876,0,3.70043971814109,0,4.90689059560852,7.29462074889163,6.28540221886225,2.58496250072116,0,0,9.78953364497036,0,1.58496250072116,6.39231742277876,10.0014081943928,0,0,4.64385618977472,0,0,7.72109918870718
"PF3D7_1403500",0,4.64385618977472,0,0,0,1.58496250072116,4.8073549220576,0,0,1,0,7.24792751344359,0,5.35755200461808,4.52356195605701,4.32192809488736,0,0,0,2,0,1.58496250072116
"PF3D7_1403600",0,0,0,0,0,0,0,5.70043971814109,0,0,1,0,0,0,8.40514146313634,0,0,0,0,1,0,1
"PF3D7_1403700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.8073549220576,0
"PF3D7_1403800",0,8.3037807481771,0,5.08746284125034,0,4.32192809488736,8.82017896241519,8.10852445677817,3.58496250072116,4.16992500144231,0,9.20212382383046,0,6.85798099512757,6.79441586635011,10.2842457498297,0,6.18982455888002,10.4501802471648,0,4.24792751344359,9.7714894695006
"PF3D7_1403900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404000",3.4594316186373,0,2.32192809488736,2.8073549220576,8.21916852046216,1.58496250072116,0,0,5.39231742277876,4.8073549220576,4,0,6.37503943134692,7.12928301694497,0,0,4.32192809488736,5,0,0,5.97727992349992,0
"PF3D7_1404100",0,0,1,4.4594316186373,0,0,0,0,1,4.90689059560852,0,0,0,0,0,0,0,5.52356195605701,0,0,0,0
"PF3D7_1404200",2,4.8073549220576,0,6.28540221886225,0,4.24792751344359,2.8073549220576,0,7.53138146051631,6.5077946401987,1,8.46352437327118,5.08746284125034,6.4093909361377,0,0,3.16992500144231,5.61470984411521,7.5077946401987,0,0,9.73809225962049
"PF3D7_1404300",0,0,0,0,0,4.24792751344359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404400",5.4594316186373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404500",0,0,0,2.32192809488736,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404600.1",0,0,0,2.8073549220576,0,1.58496250072116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404600.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404600.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1404800",0,0,8.57364718749332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3.4594316186373,0,0
"PF3D7_1404900",0,2,3.16992500144231,0,3.90689059560852,3.16992500144231,0,3,0,0,0,2,1.58496250072116,4.32192809488736,7.5077946401987,0,6.37503943134692,3,0,3,0,5.90689059560852
"PF3D7_1405000",0,0,0,0,0,0,0,0,0,0,0,0,0,3.70043971814109,0,0,0,0,0,0,0,0
"PF3D7_1405100",3.90689059560852,0,0,4.39231742277876,3.16992500144231,4.52356195605701,0,2.32192809488736,4.4594316186373,4,0,0,0,1,0,7.38370429247405,3.58496250072116,0,5.4262647547021,2.32192809488736,3.16992500144231,0
"PF3D7_1405200",0,0,0,0,0,2.32192809488736,0,0,0,1.58496250072116,6.4757334309664,0,0,0,0,0,0,0,0,0,0,1.58496250072116
"PF3D7_1405300",0,0,0,4.24792751344359,0,0,0,4.39231742277876,4.70043971814109,0,9.25974326369078,0,0,5.12928301694497,0,0,0,0,8.44708322620965,0,0,0
"PF3D7_1405400",0,5.24792751344359,0,0,0,4.75488750216347,0,7.35755200461808,2.58496250072116,0,0,0,0,0,0,7.54689445988764,0,0,0,0,0,0
"PF3D7_1405500",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"PF3D7_1405600",0,0,0,0,0,0,7.33091687811462,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"PF3D7_1405700",0,5.08746284125034,0,0,0,3.8073549220576,3.58496250072116,0,0,4.85798099512757,0,2.8073549220576,5.24792751344359,0,0,0,0,1.58496250072116,3.32192809488736,0,1,3.4594316186373
"PF3D7_1405800",1,5.58496250072116,0,5.12928301694497,0,0,0,0,4.8073549220576,1,0,0,1,8.00562454919388,6,4,0,1,0,0,4.16992500144231,0
"PF3D7_1405900",0,0,4.24792751344359,0,8.94544383637791,4.85798099512757,0,0,2.8073549220576,0,0,0,4.24792751344359,0,0,6.68650052718322,1.58496250072116,0,0,2.32192809488736,3.58496250072116,0
"PF3D7_1406000",1,0,0,3,0,0,0,0,3.32192809488736,1,0,0,0,0,0,0,0,5.64385618977472,0,0,0,0
"PF3D7_1406100",0,0,1,0,2.8073549220576,3.58496250072116,0,3.16992500144231,2.58496250072116,0,0,0,5.39231742277876,2.58496250072116,0,0,1,1.58496250072116,0,1.58496250072116,0,0
"PF3D7_1406200",4.08746284125034,0,8.2336196767597,3.90689059560852,8.43045255166553,4.39231742277876,8.19475685442225,6.62935662007961,0,4.16992500144231,0,6.4093909361377,4.90689059560852,9.62388149001346,8.83605035505807,8.96000193206808,5.08746284125034,0,0,1,7.65821148275179,5.04439411935845
"PF3D7_1406300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1406400",0,0,0,6.20945336562895,0,0,1,0,0,0,0,6.14974711950468,4.08746284125034,0,7.53138146051631,6.4757334309664,0,2.32192809488736,0,0,0,0
"PF3D7_1406500",0,3.70043971814109,0,2.32192809488736,0,0,6.3037807481771,4.58496250072116,0,0,5.08746284125034,3.58496250072116,0,0,4.64385618977472,6.83289001416474,0,0,3.58496250072116,0,0,0
"PF3D7_1406600",2.32192809488736,5.28540221886225,1,0,0,1.58496250072116,0,0,1,4.85798099512757,0,0,5.55458885167764,0,0,0,0,0,0,0,3.58496250072116,0
"PF3D7_1406700",0,0,0,0,0,1,0,0,0,5.32192809488736,0,2.32192809488736,1,0,0,0,0,0,0,0,3.4594316186373,0
"PF3D7_1406800",0,0,0,0,0,0,0,0,4.4594316186373,3.4594316186373,0,1,4.16992500144231,0,0,0,0,0,0,0,1,0
"PF3D7_1406900",0,0,0,0,0,4.95419631038687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1407000",0,0,0,0,0,3.58496250072116,0,0,5.49185309632967,8.09803208296053,0,0,4.95419631038687,8.84549005094438,0,0,0,4.58496250072116,0,1,1.58496250072116,0
"PF3D7_1407100",0,0,0,0,8.02236781302845,0,0,0,0,0,0,0,0,0,4.4594316186373,0,1,1.58496250072116,4.24792751344359,0,0,1.58496250072116
"PF3D7_1407200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"PF3D7_1407300",5.88264304936184,0,0,3.16992500144231,8.7714894695006,0,0,0,0,3.58496250072116,0,0,0,8.07146236255662,0,0,0,0,0,0,2.32192809488736,4.85798099512757
"PF3D7_1407400",2.58496250072116,0,0,0,0,4.52356195605701,0,0,4,0,0,0,1,2,0,0,0,3.16992500144231,1.58496250072116,5.08746284125034,2.8073549220576,7.31288295528436
"PF3D7_1407500",1,0,0,0,0,3,0,0,0,0,0,0,0,6.75488750216347,0,0,6.14974711950468,0,0,0,0,0
"PF3D7_1407600",2.32192809488736,0,0,0,3.16992500144231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1407700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1407800",0,0,0,0,7.33091687811462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1407900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1408000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1408100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1408200",0,0,0,1,0,2,0,6.95419631038687,0,3.70043971814109,0,3.58496250072116,5.35755200461808,0,7.63662462054365,3,3.16992500144231,4.32192809488736,6.89481776330794,6.49185309632967,5.08746284125034,9.16490692667569
"PF3D7_1408300",0,3,0,0,0,0,2.32192809488736,1,0,0,0,4.75488750216347,0,0,0,0,0,0,6.64385618977472,0,0,0
"PF3D7_1408400",3.70043971814109,6.75488750216347,0,2.32192809488736,4.85798099512757,0,5.58496250072116,8.4093909361377,0,0,0,9.66355810421727,0,1,8.53138146051631,7.92481250360578,2.32192809488736,0,7.53138146051631,0,0,8.4093909361377
"PF3D7_1408500",0,0,2.32192809488736,0,0,0,0,0,0,4.39231742277876,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1408600",0,7.2667865406949,8.41362792902417,4.75488750216347,9.09803208296053,0,9.43254190038826,5,0,0,0,0,0,0,0,0,5.83289001416474,3.4594316186373,10.1421070573025,0,0,7.27612440527424
