"","pm.19","pm.51","pm.65","pm.67","pm.82","pm.103","pm.114","pm.115","pm.145","pm.146","pm.161","pm.162","pm.178"
"PmUG01_00010200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00010300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00010400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00010500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00010700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00010800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00010900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00011000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00011200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00011300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00011400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00011600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00011700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00011800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00012000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00012100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00012300",0,0,0,0,0,0,0,0,0,0,0,2.8073549220576,0
"PmUG01_00012400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00012500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00012600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00012800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00013000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00013100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00013200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00013300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00013400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00013500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00013700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00013800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00014000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00014100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00014200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00014300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00014400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00014500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00014600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00014700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00014800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00014900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00015000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00015100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00015200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00015400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00015500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00015600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00015700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00016000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00016100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00016200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00016400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00016500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00016600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00016700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00016900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00017000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00017100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00017200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00017400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00017700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00017900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00018000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00018700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00018800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00019000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00019100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00019300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00019400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00019500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00019600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00019700",1,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00019800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00020000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00020200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00020300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00020400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00020500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00020800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00020900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00021100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00021500",0,0,0,0,0,0,0,0,0,0,0,0,0
