"","Clust","overlap","inclustnotcat","neither","notclustyescat","pval","adjpval","bonpval"
"1",1,30,9,4169,916,6.01253052386724e-16,2.00417684128908e-15,1.20250610477345e-14
"2",2,25,166,4017,921,0.973860210435742,1,1
"3",3,50,431,3727,896,0.99999981829371,1,1
"4",4,46,791,3371,900,1,1,1
"5",5,54,682,3472,892,1,1,1
"6",6,77,802,3329,869,1,1,1
"7",7,50,104,4054,896,1.01762733118398e-05,2.90750666052566e-05,0.000203525466236796
"8",8,38,206,3964,908,0.876907262108015,1,1
"9",9,23,48,4137,923,0.00172327767014783,0.00430819417536959,0.0344655534029567
"10",10,79,49,4080,867,3.0630852906755e-28,1.53154264533775e-27,6.126170581351e-27
"11",11,30,362,3816,916,0.999999999777107,1,1
"12",12,17,96,4095,929,0.802738276253073,1,1
"13",13,15,60,4133,931,0.318998489883189,0.637996979766378,1
"14",14,29,251,3928,917,0.999916036172532,1,1
"15",15,9,38,4161,937,0.387584158481193,0.704698469965806,1
"16",16,17,61,4130,929,0.192740616526278,0.428312481169506,1
"17",17,122,54,4032,824,4.19204178095643e-51,4.19204178095643e-50,8.38408356191286e-50
"18",18,34,0,4174,912,1.31571933127297e-26,5.26287732509189e-26,2.63143866254595e-25
"19",19,117,1,4090,829,4.29833313458319e-87,8.59666626916639e-86,8.59666626916639e-86
"20",20,64,0,4144,882,5.27745516313972e-49,3.51830344209314e-48,1.05549103262794e-47
