"","x"
"1","PBANKA_0100600"
"2","PBANKA_0100700"
"3","PBANKA_0100900"
"4","PBANKA_0101000"
"5","PBANKA_0101400"
"6","PBANKA_0101600"
"7","PBANKA_0102800"
"8","PBANKA_0102900"
"9","PBANKA_0103000"
"10","PBANKA_0103400"
"11","PBANKA_0103700"
"12","PBANKA_0103800"
"13","PBANKA_0104900"
"14","PBANKA_0105300"
"15","PBANKA_0105500"
"16","PBANKA_0105600"
"17","PBANKA_0105700"
"18","PBANKA_0106000"
"19","PBANKA_0106200"
"20","PBANKA_0106300"
"21","PBANKA_0106500"
"22","PBANKA_0106600"
"23","PBANKA_0106800"
"24","PBANKA_0107000"
"25","PBANKA_0107300"
"26","PBANKA_0107800"
"27","PBANKA_0107900"
"28","PBANKA_0108000"
"29","PBANKA_0108100"
"30","PBANKA_0108200"
"31","PBANKA_0108300"
"32","PBANKA_0108700"
"33","PBANKA_0108800"
"34","PBANKA_0109900"
"35","PBANKA_0110300"
"36","PBANKA_0111000"
"37","PBANKA_0112100"
"38","PBANKA_0201600"
"39","PBANKA_0201800"
"40","PBANKA_0202400"
"41","PBANKA_0202600"
"42","PBANKA_0202900"
"43","PBANKA_0204100"
"44","PBANKA_0204200"
"45","PBANKA_0204400"
"46","PBANKA_0206100"
"47","PBANKA_0206300"
"48","PBANKA_0206500"
"49","PBANKA_0206900"
"50","PBANKA_0207100"
"51","PBANKA_0207900"
"52","PBANKA_0208000"
"53","PBANKA_0208800"
"54","PBANKA_0208900"
"55","PBANKA_0209000"
"56","PBANKA_0209100"
"57","PBANKA_0209500"
"58","PBANKA_0209700"
"59","PBANKA_0209900"
"60","PBANKA_0210200"
"61","PBANKA_0210400"
"62","PBANKA_0210500"
"63","PBANKA_0210800"
"64","PBANKA_0211500"
"65","PBANKA_0211700"
"66","PBANKA_0212600"
"67","PBANKA_0212900"
"68","PBANKA_0213300"
"69","PBANKA_0213400"
"70","PBANKA_0213500"
"71","PBANKA_0214000"
"72","PBANKA_0216781"
"73","PBANKA_0301400"
"74","PBANKA_0301600"
"75","PBANKA_0301800"
"76","PBANKA_0301900"
"77","PBANKA_0302300"
"78","PBANKA_0303000"
"79","PBANKA_0303400"
"80","PBANKA_0304000"
"81","PBANKA_0304200"
"82","PBANKA_0304300"
"83","PBANKA_0304400"
"84","PBANKA_0304500"
"85","PBANKA_0304800"
"86","PBANKA_0304900"
"87","PBANKA_0305000"
"88","PBANKA_0305100"
"89","PBANKA_0305200"
"90","PBANKA_0305300"
"91","PBANKA_0305800"
"92","PBANKA_0306300"
"93","PBANKA_0306700"
"94","PBANKA_0306800"
"95","PBANKA_0308200"
"96","PBANKA_0308500"
"97","PBANKA_0308600"
"98","PBANKA_0308800"
"99","PBANKA_0309200"
"100","PBANKA_0309700"
"101","PBANKA_0309900"
"102","PBANKA_0310100"
"103","PBANKA_0310200"
"104","PBANKA_0310300"
"105","PBANKA_0310400"
"106","PBANKA_0311100"
"107","PBANKA_0311200"
"108","PBANKA_0311500"
"109","PBANKA_0312300"
"110","PBANKA_0312500"
"111","PBANKA_0313600"
"112","PBANKA_0314200"
"113","PBANKA_0314900"
"114","PBANKA_0315200"
"115","PBANKA_0315400"
"116","PBANKA_0315800"
"117","PBANKA_0316000"
"118","PBANKA_0316600"
"119","PBANKA_0316821"
"120","PBANKA_0316841"
"121","PBANKA_0316961"
"122","PBANKA_0400500"
"123","PBANKA_0401100"
"124","PBANKA_0403200"
"125","PBANKA_0404100"
"126","PBANKA_0404400"
"127","PBANKA_0404500"
"128","PBANKA_0404600"
"129","PBANKA_0404800"
"130","PBANKA_0405100"
"131","PBANKA_0405200"
"132","PBANKA_0405300"
"133","PBANKA_0406400"
"134","PBANKA_0406500"
"135","PBANKA_0406700"
"136","PBANKA_0407000"
"137","PBANKA_0407400"
"138","PBANKA_0408100"
"139","PBANKA_0408300"
"140","PBANKA_0408400"
"141","PBANKA_0408500"
"142","PBANKA_0409100"
"143","PBANKA_0409300"
"144","PBANKA_0409600"
"145","PBANKA_0409700"
"146","PBANKA_0410000"
"147","PBANKA_0410800"
"148","PBANKA_0411000"
"149","PBANKA_0411100"
"150","PBANKA_0411200"
"151","PBANKA_0413000"
"152","PBANKA_0414200"
"153","PBANKA_0414800"
"154","PBANKA_0415200"
"155","PBANKA_0415900"
"156","PBANKA_0416000"
"157","PBANKA_0416500"
"158","PBANKA_0417300"
"159","PBANKA_0417400"
"160","PBANKA_0417500"
