sample_id,ppt
EEF_65,1
EEF_20,2
EEF_60,3
EEF_179,4
EEF_29,5
EEF_43,6
EEF_117,7
EEF_64,8
EEF_138,9
EEF_21,10
EEF_96,11
EEF_150,12
EEF_69,13
EEF_76,14
EEF_79,15
EEF_140,16
EEF_26,17
EEF_44,18
EEF_25,19
EEF_137,20
EEF_36,21
EEF_83,22
EEF_11,23
EEF_6,24
EEF_38,25
EEF_92,26
EEF_118,27
EEF_104,28
EEF_30,29
EEF_40,30
EEF_135,31
EEF_103,32
EEF_59,33
EEF_109,34
EEF_61,35
EEF_95,36
EEF_12,37
EEF_77,38
EEF_52,39
EEF_63,40
EEF_100,41
EEF_71,42
EEF_54,43
EEF_93,44
EEF_94,45
EEF_134,46
EEF_110,47
EEF_89,48
EEF_170,49
EEF_159,50
EEF_125,51
EEF_132,52
EEF_153,53
EEF_81,54
EEF_112,55
EEF_133,56
EEF_158,57
EEF_106,58
EEF_143,59
EEF_62,60
EEF_102,61
EEF_33,62
EEF_75,63
EEF_182,64
EEF_74,65
EEF_176,66
EEF_171,67
EEF_4,68
EEF_185,69
EEF_142,70
EEF_17,71
EEF_177,72
EEF_57,73
EEF_32,74
EEF_51,75
EEF_136,76
EEF_42,77
EEF_129,78
EEF_27,79
EEF_156,80
EEF_45,81
EEF_184,82
EEF_10,83
EEF_187,84
EEF_113,85
EEF_148,86
EEF_152,87
EEF_56,88
EEF_37,89
EEF_84,90
EEF_180,91
EEF_88,92
EEF_87,93
EEF_39,94
EEF_107,95
EEF_16,96
EEF_147,97
EEF_108,98
EEF_70,99
EEF_19,100
EEF_130,101
EEF_127,102
EEF_58,103
EEF_23,104
EEF_41,105
EEF_86,106
EEF_66,107
EEF_114,108
EEF_15,109
EEF_115,110
EEF_188,111
EEF_124,112
EEF_174,113
EEF_80,114
EEF_123,115
EEF_172,116
EEF_91,117
EEF_116,118
EEF_101,119
EEF_18,120
EEF_131,121
EEF_82,122
EEF_105,123
EEF_78,124
EEF_8,125
EEF_173,126
EEF_154,127
EEF_98,128
EEF_126,129
EEF_22,130
EEF_128,131
EEF_67,132
EEF_149,133
EEF_97,134
EEF_111,135
EEF_122,136
EEF_160,137
EEF_73,138
EEF_49,139
EEF_146,140
EEF_190,141
EEF_34,142
EEF_161,143
EEF_121,144
EEF_99,145
EEF_139,146
EEF_145,147
EEF_35,148
EEF_47,149
EEF_28,150
EEF_157,151
EEF_31,152
EEF_9,153
EEF_53,154
EEF_85,155
EEF_169,156
EEF_46,157
EEF_119,158
EEF_141,159
Merozoite_2,160
Merozoite_216,161
Merozoite_242,162
Merozoite_254,163
Ring_133,164
Merozoite_114,165
Merozoite_146,166
Merozoite_241,167
Merozoite_81,168
Merozoite_116,169
Merozoite_5,170
Merozoite_231,171
Merozoite_10,172
Ring_217,173
Merozoite_193,174
Merozoite_67,175
Merozoite_138,176
Merozoite_7,177
Merozoite_72,178
Merozoite_11,179
Merozoite_225,180
Merozoite_8,181
Merozoite_55,182
Merozoite_164,183
Merozoite_64,184
Merozoite_233,185
Merozoite_259,186
Merozoite_244,187
Merozoite_139,188
Merozoite_98,189
Merozoite_212,190
Merozoite_168,191
Merozoite_258,192
Merozoite_68,193
Merozoite_179,194
Merozoite_153,195
Ring_100,196
Merozoite_230,197
Ring_105,198
Merozoite_13,199
Merozoite_77,200
Merozoite_4,201
Merozoite_166,202
Merozoite_102,203
Merozoite_101,204
Merozoite_171,205
Merozoite_238,206
Merozoite_188,207
Merozoite_235,208
Merozoite_60,209
Merozoite_215,210
Merozoite_229,211
Merozoite_263,212
Merozoite_173,213
Merozoite_43,214
Merozoite_248,215
Merozoite_48,216
Merozoite_37,217
Merozoite_28,218
Merozoite_46,219
Ring_123,220
Merozoite_192,221
Merozoite_199,222
Ring_154,223
Merozoite_63,224
Merozoite_105,225
Merozoite_128,226
Merozoite_14,227
Merozoite_19,228
Merozoite_20,229
Ring_261,230
Merozoite_73,231
Merozoite_204,232
Merozoite_247,233
Merozoite_53,234
Ring_243,235
Merozoite_255,236
Merozoite_22,237
Merozoite_185,238
Ring_252,239
Merozoite_51,240
Merozoite_104,241
Merozoite_155,242
Ring_72,243
Merozoite_61,244
Merozoite_32,245
Merozoite_224,246
Merozoite_127,247
Merozoite_39,248
Merozoite_66,249
Merozoite_132,250
Merozoite_99,251
Merozoite_182,252
Merozoite_117,253
Merozoite_147,254
Merozoite_34,255
Merozoite_197,256
Merozoite_42,257
Merozoite_172,258
Merozoite_156,259
Merozoite_108,260
Merozoite_257,261
Merozoite_218,262
Merozoite_151,263
Merozoite_195,264
Merozoite_82,265
Merozoite_27,266
Merozoite_119,267
Merozoite_112,268
Merozoite_133,269
Merozoite_49,270
Merozoite_252,271
Ring_267,272
Ring_63,273
Merozoite_207,274
Merozoite_115,275
Merozoite_126,276
Merozoite_120,277
Merozoite_203,278
Merozoite_33,279
Merozoite_15,280
Merozoite_65,281
Merozoite_136,282
Merozoite_118,283
Merozoite_9,284
Merozoite_121,285
Merozoite_181,286
Merozoite_177,287
Merozoite_217,288
Merozoite_152,289
Merozoite_157,290
Merozoite_253,291
Merozoite_137,292
Merozoite_148,293
Merozoite_205,294
Merozoite_122,295
Merozoite_35,296
Merozoite_223,297
Merozoite_159,298
Ring_54,299
Merozoite_220,300
Merozoite_54,301
Merozoite_198,302
Merozoite_262,303
Merozoite_113,304
Merozoite_24,305
Merozoite_161,306
Ring_281,307
Merozoite_219,308
Merozoite_50,309
Merozoite_57,310
Merozoite_75,311
Merozoite_36,312
Merozoite_62,313
Merozoite_6,314
Merozoite_12,315
Merozoite_160,316
Merozoite_25,317
Merozoite_76,318
Merozoite_31,319
Merozoite_41,320
Merozoite_221,321
Merozoite_84,322
Merozoite_111,323
Merozoite_228,324
Merozoite_162,325
Merozoite_256,326
Merozoite_208,327
Merozoite_38,328
Merozoite_169,329
Merozoite_134,330
Merozoite_78,331
Merozoite_239,332
Merozoite_243,333
Merozoite_214,334
Merozoite_143,335
Merozoite_59,336
Merozoite_140,337
Merozoite_21,338
Ring_180,339
Merozoite_184,340
Merozoite_190,341
Merozoite_110,342
Merozoite_260,343
Merozoite_234,344
Merozoite_145,345
Ring_270,346
Merozoite_246,347
Merozoite_213,348
Merozoite_144,349
Merozoite_191,350
Merozoite_125,351
Merozoite_189,352
Merozoite_264,353
Merozoite_232,354
Merozoite_79,355
Ring_79,356
Merozoite_71,357
Merozoite_158,358
Merozoite_30,359
SC_Pber_Shz.298,360
Merozoite_103,361
Merozoite_236,362
Ring_157,363
Merozoite_222,364
Merozoite_56,365
Merozoite_210,366
Ring_77,367
Merozoite_165,368
Merozoite_201,369
Merozoite_17,370
Merozoite_135,371
Merozoite_18,372
Ring_156,373
Ring_205,374
Ring_130,375
Ring_139,376
Merozoite_23,377
Merozoite_196,378
Merozoite_69,379
Merozoite_183,380
Ring_88,381
Merozoite_100,382
Merozoite_70,383
Ring_214,384
Merozoite_129,385
Ring_98,386
Merozoite_45,387
Ring_112,388
Merozoite_3,389
Merozoite_83,390
Merozoite_29,391
Ring_221,392
Merozoite_249,393
Merozoite_237,394
Merozoite_26,395
Merozoite_142,396
Merozoite_47,397
Merozoite_186,398
Merozoite_163,399
Ring_263,400
Merozoite_123,401
Merozoite_206,402
Merozoite_124,403
Merozoite_209,404
Ring_116,405
Ring_34,406
Ring_186,407
Ring_170,408
Merozoite_150,409
Ring_104,410
Merozoite_80,411
Ring_25,412
Merozoite_58,413
Ring_29,414
Merozoite_261,415
Ring_36,416
Ring_268,417
Ring_229,418
Ring_2,419
Merozoite_44,420
Ring_272,421
Merozoite_227,422
Ring_99,423
Ring_246,424
Ring_129,425
Ring_135,426
Ring_124,427
Ring_158,428
Ring_198,429
Ring_71,430
Merozoite_131,431
Ring_33,432
Ring_32,433
Ring_24,434
Merozoite_251,435
Ring_44,436
core_248,437
Ring_152,438
Ring_181,439
Ring_16,440
Ring_173,441
Merozoite_194,442
Ring_40,443
Ring_102,444
Ring_189,445
Ring_15,446
Ring_185,447
Ring_83,448
Ring_101,449
Ring_234,450
Ring_219,451
Merozoite_16,452
Merozoite_167,453
Ring_242,454
Ring_196,455
Ring_248,456
Ring_46,457
Ring_241,458
Ring_257,459
Ring_78,460
Ring_62,461
Ring_76,462
Ring_3,463
Merozoite_245,464
Ring_5,465
Ring_222,466
Ring_184,467
Ring_85,468
Ring_73,469
Ring_251,470
Ring_250,471
Merozoite_211,472
Ring_177,473
Ring_53,474
Ring_145,475
Ring_21,476
Ring_231,477
Ring_230,478
Ring_149,479
Ring_148,480
Ring_137,481
Ring_49,482
Ring_67,483
Ring_228,484
Ring_92,485
Ring_235,486
Ring_87,487
Ring_35,488
Ring_89,489
Ring_164,490
Ring_240,491
Ring_68,492
Ring_13,493
Ring_91,494
Ring_175,495
Ring_202,496
Ring_239,497
Ring_212,498
Ring_66,499
Ring_39,500
Ring_65,501
Ring_59,502
Ring_81,503
Ring_45,504
Ring_23,505
Ring_37,506
Ring_14,507
Ring_218,508
Ring_233,509
Ring_7,510
Ring_201,511
Ring_61,512
Ring_174,513
Ring_43,514
Ring_178,515
Ring_159,516
Ring_249,517
Ring_197,518
Ring_86,519
Ring_128,520
Ring_31,521
Ring_113,522
Ring_244,523
Ring_225,524
Ring_22,525
Ring_94,526
Merozoite_40,527
Ring_150,528
Ring_232,529
Ring_131,530
Ring_141,531
Ring_41,532
Ring_226,533
Ring_162,534
Ring_209,535
Ring_200,536
Ring_26,537
Ring_57,538
Ring_122,539
Ring_52,540
Ring_255,541
Ring_169,542
Ring_223,543
Ring_75,544
Ring_210,545
Ring_146,546
Ring_237,547
Ring_126,548
Ring_132,549
Ring_179,550
Ring_204,551
Ring_165,552
Ring_115,553
Ring_18,554
Ring_4,555
Ring_19,556
Ring_60,557
Ring_188,558
Ring_8,559
Ring_125,560
Ring_50,561
Ring_27,562
Ring_153,563
Ring_136,564
Ring_9,565
Ring_10,566
Ring_20,567
Ring_171,568
Ring_160,569
Ring_138,570
Ring_84,571
Ring_64,572
Ring_183,573
Ring_236,574
Ring_207,575
Ring_30,576
Ring_11,577
Ring_90,578
Ring_69,579
Ring_262,580
Ring_193,581
Ring_182,582
Ring_56,583
Ring_140,584
Ring_55,585
Ring_17,586
Ring_12,587
Ring_238,588
Ring_224,589
Ring_155,590
Ring_227,591
Ring_194,592
Ring_28,593
Ring_47,594
Ring_58,595
Ring_203,596
Ring_118,597
Ring_191,598
Ring_82,599
Ring_211,600
Ring_42,601
Ring_220,602
Ring_95,603
Ring_254,604
Ring_172,605
Ring_80,606
Ring_121,607
Ring_215,608
Ring_206,609
Ring_38,610
Ring_6,611
Ring_269,612
Ring_142,613
Ring_161,614
Ring_213,615
Ring_117,616
Ring_176,617
Ring_245,618
Ring_134,619
Ring_195,620
Ring_147,621
core_303,622
Ring_163,623
Ring_166,624
core_81,625
Ring_247,626
core_105,627
Ring_190,628
core_251,629
core_13,630
core_372,631
core_194,632
core_124,633
core_82,634
core_288,635
SC_Pber_Shz.315,636
core_144,637
core_90,638
core_291,639
core_271,640
core_335,641
core_195,642
core_252,643
core_28,644
core_92,645
core_190,646
core_220,647
core_210,648
core_295,649
core_202,650
core_277,651
SC_Pber_Shz.318,652
SC_Pber_Shz.203,653
core_34,654
core_207,655
core_181,656
SC_Pber_Shz.48,657
core_263,658
core_155,659
SC_Pber_Shz.140,660
SC_Pber_Shz.379,661
core_264,662
SC_Pber_Shz.303,663
core_71,664
core_348,665
core_314,666
SC_Pber_Shz.107,667
SC_Pber_Shz.123,668
core_338,669
SC_Pber_Shz.153,670
core_316,671
core_101,672
core_79,673
core_170,674
SC_Pber_Shz.122,675
SC_Pber_Shz.268,676
SC_Pber_Shz.109,677
SC_Pber_Shz.252,678
core_132,679
SC_Pber_Shz.319,680
core_250,681
core_321,682
core_117,683
core_168,684
SC_Pber_Shz.155,685
SC_Pber_Shz.255,686
SC_Pber_Shz.47,687
core_237,688
core_115,689
core_294,690
SC_Pber_Shz.171,691
SC_Pber_Shz.143,692
core_196,693
core_18,694
core_138,695
core_147,696
core_160,697
SC_Pber_Shz.351,698
core_9,699
core_212,700
core_262,701
core_368,702
core_129,703
core_249,704
core_260,705
SC_Pber_Shz.28,706
core_22,707
core_84,708
core_107,709
SC_Pber_Shz.316,710
core_231,711
core_41,712
core_203,713
core_319,714
SC_Pber_Shz.254,715
core_337,716
core_293,717
SC_Pber_Shz.138,718
core_324,719
core_110,720
SC_Pber_Shz.282,721
core_174,722
core_189,723
core_245,724
core_188,725
core_243,726
core_326,727
SC_Pber_Shz.112,728
core_256,729
core_95,730
core_258,731
core_100,732
SC_Pber_Shz.334,733
core_328,734
SC_Pber_Shz.281,735
SC_Pber_Shz.187,736
core_365,737
core_247,738
core_29,739
core_143,740
core_11,741
core_363,742
core_184,743
core_199,744
core_216,745
core_213,746
core_376,747
core_274,748
core_261,749
core_116,750
core_35,751
SC_Pber_Shz.14,752
SC_Pber_Shz.32,753
SC_Pber_Shz.219,754
core_308,755
core_87,756
SC_Pber_Shz.108,757
core_180,758
core_342,759
core_282,760
core_159,761
SC_Pber_Shz.172,762
core_224,763
core_165,764
SC_Pber_Shz.142,765
SC_Pber_Shz.158,766
SC_Pber_Shz.11,767
core_179,768
core_197,769
core_234,770
core_176,771
core_221,772
core_359,773
SC_Pber_Shz.250,774
core_259,775
SC_Pber_Shz.205,776
core_299,777
core_225,778
SC_Pber_Shz.265,779
SC_Pber_Shz.234,780
SC_Pber_Shz.31,781
SC_Pber_Shz.46,782
core_151,783
core_379,784
core_289,785
SC_Pber_Shz.301,786
core_94,787
SC_Pber_Shz.154,788
core_175,789
core_40,790
core_57,791
SC_Pber_Shz.256,792
core_61,793
SC_Pber_Shz.189,794
core_310,795
core_187,796
SC_Pber_Shz.346,797
core_148,798
SC_Pber_Shz.299,799
core_103,800
core_46,801
SC_Pber_Shz.76,802
SC_Pber_Shz.191,803
core_51,804
SC_Pber_Shz.331,805
core_285,806
core_320,807
core_239,808
SC_Pber_Shz.271,809
core_297,810
core_83,811
core_354,812
SC_Pber_Shz.13,813
SC_Pber_Shz.350,814
SC_Pber_Shz.26,815
core_152,816
SC_Pber_Shz.174,817
SC_Pber_Shz.93,818
core_130,819
core_253,820
SC_Pber_Shz.362,821
SC_Pber_Shz.77,822
core_238,823
core_33,824
SC_Pber_Shz.365,825
core_375,826
core_42,827
core_72,828
core_135,829
core_125,830
SC_Pber_Shz.74,831
core_141,832
core_182,833
core_12,834
SC_Pber_Shz.27,835
SC_Pber_Shz.335,836
core_59,837
core_272,838
SC_Pber_Shz.60,839
core_307,840
core_345,841
core_104,842
SC_Pber_Shz.366,843
core_164,844
core_85,845
core_153,846
SC_Pber_Shz.336,847
core_329,848
core_96,849
core_228,850
core_154,851
core_52,852
core_198,853
core_3,854
core_62,855
core_276,856
SC_Pber_Shz.190,857
core_209,858
core_304,859
core_64,860
core_322,861
core_163,862
core_27,863
core_178,864
core_332,865
core_158,866
core_99,867
core_173,868
core_183,869
core_167,870
core_371,871
SC_Pber_Shz.300,872
core_20,873
core_357,874
core_38,875
core_91,876
core_377,877
core_369,878
core_227,879
core_343,880
core_139,881
SC_Pber_Shz.157,882
core_131,883
SC_Pber_Shz.285,884
core_66,885
core_331,886
core_374,887
core_211,888
core_68,889
core_112,890
core_370,891
core_205,892
core_67,893
core_55,894
core_349,895
core_275,896
core_309,897
core_23,898
core_267,899
core_206,900
core_281,901
core_230,902
core_362,903
core_306,904
core_6,905
core_146,906
core_65,907
core_229,908
core_313,909
core_218,910
core_350,911
core_133,912
core_325,913
core_89,914
core_140,915
core_236,916
core_142,917
core_317,918
core_63,919
core_255,920
core_347,921
core_215,922
core_351,923
core_171,924
core_246,925
core_318,926
core_113,927
core_270,928
core_340,929
core_273,930
core_108,931
core_346,932
core_327,933
core_214,934
core_300,935
core_56,936
SC_Pber_Shz.10,937
SC_Pber_Shz.12,938
SC_Pber_Shz.15,939
SC_Pber_Shz.16,940
SC_Pber_Shz.29,941
SC_Pber_Shz.43,942
SC_Pber_Shz.44,943
SC_Pber_Shz.57,944
SC_Pber_Shz.58,945
