ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0006333	chromatin assembly or disassembly	4	1	PBANKA_0941900,	25.0	140.2	233.0	0.00711741058442	0.122687729875	0.491101330325
GO:0006334	nucleosome assembly	4	1	PBANKA_0941900,	25.0	140.2	233.0	0.00711741058442	0.122687729875	0.491101330325
GO:0034728	nucleosome organization	4	1	PBANKA_0941900,	25.0	140.2	233.0	0.00711741058442	0.122687729875	0.491101330325
GO:0031497	chromatin assembly	4	1	PBANKA_0941900,	25.0	140.2	233.0	0.00711741058442	0.122687729875	0.491101330325
GO:0006323	DNA packaging	5	1	PBANKA_0941900,	20.0	112.16	174.69	0.00889041520836	0.122687729875	0.613438649377
GO:0065004	protein-DNA complex assembly	8	1	PBANKA_0941900,	12.5	70.1	99.71	0.014194237333	0.13991462514	0.979402375978
GO:0071824	protein-DNA complex subunit organization	8	1	PBANKA_0941900,	12.5	70.1	99.71	0.014194237333	0.13991462514	0.979402375978
GO:0044085	cellular component biogenesis	136	2	PBANKA_0918000,PBANKA_0941900,	1.5	8.25	13.26	0.0212042161379	0.152268922763	1.0
GO:0006414	translational elongation	12	1	PBANKA_0918000,	8.3	46.73	63.36	0.0212306540523	0.152268922763	1.0
GO:0006352	DNA-templated transcription, initiation	14	1	PBANKA_0941900,	7.1	40.06	53.58	0.0247337628295	0.152268922763	1.0
GO:0006325	chromatin organization	14	1	PBANKA_0941900,	7.1	40.06	53.58	0.0247337628295	0.152268922763	1.0
GO:0071103	DNA conformation change	15	1	PBANKA_0941900,	6.7	37.39	49.73	0.0264815517849	0.152268922763	1.0
GO:0051276	chromosome organization	23	1	PBANKA_0941900,	4.3	24.38	31.56	0.0403738489516	0.214291967513	1.0
GO:0071840	cellular component organization or biogenesis	201	2	PBANKA_0918000,PBANKA_0941900,	1.0	5.58	8.71	0.0442604357586	0.218140719096	1.0
