"","SC3_5_clust","sample_id","ookoo"
"oocyst_2","2","oocyst_2","Oocyst"
"oocyst_3","2","oocyst_3","Oocyst"
"oocyst_4","2","oocyst_4","Oocyst"
"oocyst_5","2","oocyst_5","Oocyst"
"oocyst_6","2","oocyst_6","Oocyst"
"oocyst_7","2","oocyst_7","Oocyst"
"oocyst_8","2","oocyst_8","Oocyst"
"oocyst_9","2","oocyst_9","Oocyst"
"oocyst_10","2","oocyst_10","Oocyst"
"oocyst_12","2","oocyst_12","Oocyst"
"oocyst_13","2","oocyst_13","Oocyst"
"oocyst_14","2","oocyst_14","Oocyst"
"oocyst_15","2","oocyst_15","Oocyst"
"oocyst_17","2","oocyst_17","Oocyst"
"oocyst_18","2","oocyst_18","Oocyst"
"oocyst_19","2","oocyst_19","Oocyst"
"oocyst_20","2","oocyst_20","Oocyst"
"oocyst_22","2","oocyst_22","Oocyst"
"oocyst_23","2","oocyst_23","Oocyst"
"oocyst_24","2","oocyst_24","Oocyst"
"oocyst_25","2","oocyst_25","Oocyst"
"oocyst_26","2","oocyst_26","Oocyst"
"oocyst_27","2","oocyst_27","Oocyst"
"oocyst_28","2","oocyst_28","Oocyst"
"oocyst_29","2","oocyst_29","Oocyst"
"oocyst_30","2","oocyst_30","Oocyst"
"oocyst_31","2","oocyst_31","Oocyst"
"oocyst_33","2","oocyst_33","Oocyst"
"oocyst_34","2","oocyst_34","Oocyst"
"oocyst_35","2","oocyst_35","Oocyst"
"oocyst_36","2","oocyst_36","Oocyst"
"oocyst_37","2","oocyst_37","Oocyst"
"oocyst_38","2","oocyst_38","Oocyst"
"oocyst_39","2","oocyst_39","Oocyst"
"oocyst_40","2","oocyst_40","Oocyst"
"oocyst_41","2","oocyst_41","Oocyst"
"oocyst_42","2","oocyst_42","Oocyst"
"oocyst_43","2","oocyst_43","Oocyst"
"oocyst_44","2","oocyst_44","Oocyst"
"oocyst_45","2","oocyst_45","Oocyst"
