"","status","family","pval","qval"
"PBANKA_0101000","OK","negbinomial.size",1.33371895630441e-17,2.96095907287657e-17
"PBANKA_0101800","OK","negbinomial.size",3.71365478315391e-09,5.73505326852327e-09
"PBANKA_0102000","OK","negbinomial.size",2.987120861316e-14,5.59442618877811e-14
"PBANKA_0102600","OK","negbinomial.size",7.18794237974616e-46,4.82459167512145e-45
"PBANKA_0103200","OK","negbinomial.size",4.62582355054423e-51,3.67720996529437e-50
"PBANKA_0104200","OK","negbinomial.size",6.66796100660333e-72,9.12875613999265e-71
"PBANKA_0104500","OK","negbinomial.size",1.62237386882166e-125,6.50836028771479e-124
"PBANKA_0105100","OK","negbinomial.size",3.40744265187261e-24,9.84562575289826e-24
"PBANKA_0105600","OK","negbinomial.size",8.40157329111712e-18,1.88707212593451e-17
"PBANKA_0105900","OK","negbinomial.size",6.83905538038642e-26,2.14108358097397e-25
"PBANKA_0106500","OK","negbinomial.size",3.28728497339051e-29,1.19129549981064e-28
"PBANKA_0107000","OK","negbinomial.size",2.67563892511079e-22,7.12264991638288e-22
"PBANKA_0107100","OK","negbinomial.size",1.25663425192523e-36,6.12342961743226e-36
"PBANKA_0107300","OK","negbinomial.size",1.15491034253966e-23,3.24995161644521e-23
"PBANKA_0107400","OK","negbinomial.size",1.95702864190936e-20,4.84343530458199e-20
"PBANKA_0107600","OK","negbinomial.size",1.89626876056482e-06,2.62736033090306e-06
"PBANKA_0108300","OK","negbinomial.size",1.03172788242813e-40,5.95227624477769e-40
"PBANKA_0108700","OK","negbinomial.size",6.08715852455075e-12,1.04066882605055e-11
"PBANKA_0108900","OK","negbinomial.size",8.45623768110776e-65,9.59671710520453e-64
"PBANKA_0109100","OK","negbinomial.size",1.19394058382222e-10,1.96334366739117e-10
"PBANKA_0109500","OK","negbinomial.size",1.02132942033233e-07,1.50195502990048e-07
"PBANKA_0110200","OK","negbinomial.size",6.25134443749234e-20,1.52525730617741e-19
"PBANKA_0110800","OK","negbinomial.size",1.06222265379062e-73,1.50191317851543e-72
"PBANKA_0111700","OK","negbinomial.size",1.38335956643476e-13,2.52251083731497e-13
"PBANKA_0200700","OK","negbinomial.size",4.32573911809857e-09,6.66241069528574e-09
"PBANKA_0201051","OK","negbinomial.size",6.50098526128945e-13,1.14899585816847e-12
"PBANKA_0201600","OK","negbinomial.size",9.24758255296599e-08,1.36342563280909e-07
"PBANKA_0201700","OK","negbinomial.size",1.02736432091688e-99,2.49606120222763e-98
"PBANKA_0202200","OK","negbinomial.size",4.80898647483052e-07,6.87282656924826e-07
"PBANKA_0202600","OK","negbinomial.size",5.64340771594784e-07,8.01884539539541e-07
"PBANKA_0203000","OK","negbinomial.size",2.94996458263687e-32,1.22619009760207e-31
"PBANKA_0204100","OK","negbinomial.size",7.30538837312462e-34,3.24788529475257e-33
"PBANKA_0204200","OK","negbinomial.size",1.23468018726917e-11,2.0921643644787e-11
"PBANKA_0204400","OK","negbinomial.size",1.32321550225843e-30,5.17584295101086e-30
"PBANKA_0204600","OK","negbinomial.size",2.09479622720801e-72,2.89081879354706e-71
"PBANKA_0205400","OK","negbinomial.size",1.90087049402373e-15,3.80836423018692e-15
"PBANKA_0206000","OK","negbinomial.size",1.26768983366493e-08,1.91821487988773e-08
"PBANKA_0207000","OK","negbinomial.size",2.70055807756087e-08,4.05789432386106e-08
"PBANKA_0207400","OK","negbinomial.size",6.3713816411066e-17,1.37382916636361e-16
"PBANKA_0207800","OK","negbinomial.size",2.78961699977569e-32,1.16515480014844e-31
"PBANKA_0208700","OK","negbinomial.size",4.94477754118779e-16,1.02520928588329e-15
