sample_id	Pb_2hr.dat	Pb_4hr.dat	Pb_6hr.dat	Pb_8hr.dat	Pb_10hr.dat	Pb_12hr.dat	Pb_14hr.dat	Pb_16hr.dat	Pb_18hr.dat	Pb_20hr.dat	Pb_22hr.dat	Pb_24hr.dat
PBANKA_0720600	-0.05151629	-0.051882478	0.183512575	0.26656572	0.331186908	0.542280489	-0.144749285	-0.153576494	-0.516744298	-0.359015289	-0.280013521	-1.11704738
PBANKA_1354300	0.445950298	1.200315863	0.380346247	0.441961721	0.017907081	0.138956995	-0.473171702	-0.581261823	-0.23476968	-0.25698841	0.827414103	0.916007365
PBANKA_0111800	0.05895994	0.289677916	0.194788494	0.423767693	0.455628951	0.363512979	-0.098138079	-0.047155805	-0.064408068	-0.173307033	0.159602004	-0.347257141
PBANKA_1321100	0.369862127	-0.051099765	0.598080831	0.71525708	0.764635114	0.575556902	0.132987246	0.076579339	0.15831016	-0.221667778	-0.281177635	0.508086276
PBANKA_0209500	0.557152929	0.205612198	0.331659566	0.277002282	0.350474091	-0.28387291	-0.010661763	0.270937003	-0.102929622	-0.221140281	-0.028552443	-0.029549378
PBANKA_0208800	0.342707281	-0.017095387	-0.017026341	-0.026686079	-0.153069596	-0.474418903	-0.319310838	0.109073	0.528628987	0.857891392	0.68967593	0.664525738
PBANKA_1413400	-0.069868339	0.161232214	0.163725289	0.193153771	0.201730529	0.156517371	0.059654012	-0.428244082	-1.000228912	-1.201374106	-1.120353372	-1.426569037
PBANKA_0829800	0.02767544	-0.727983258	0.184165633	0.546333257	0.210588097	0.506066696	0.557098742	0.281439049	0.264342208	-0.318023579	-0.645480116	-0.032695353
PBANKA_0603200	-0.120100084	-0.16078146	0.091305215	0.523849724	0.371389046	0.45641817	0.107603055	-0.646428845	-0.896942935	-1.693900912	-1.956919802	-0.735619242
PBANKA_1360300	0.782676303	0.809392324	0.496547449	0.209694516	0.457824805	0.074079199	-0.400674546	-0.625076415	-0.953405965	-1.389454461	-1.172609015	-1.390463285
PBANKA_1341800	0.260362751	0.044827226	0.175806645	0.287114584	0.118390101	-0.205275683	-0.01206107	-0.100102015	0.220745787	-0.092192675	-0.363436276	-0.450369559
PBANKA_1421100	0.461809894	-0.06335995	0.359309766	0.49978939	0.309194371	0.302302327	0.013707115	-0.441864589	-0.51940154	-0.645685056	-1.067012492	-1.367437607
PBANKA_1333300	-0.22306336	-0.614869784	-0.133215975	-0.186783165	-0.178283762	0.40064173	0.039240965	-0.377192353	-0.147783611	-0.221401478	-1.005325049	-0.800177625
PBANKA_0908100	0.323882663	0.224013733	0.362896524	1.217600556	0.301715499	0.803911907	-0.093954487	-0.170389656	-0.257693284	-0.34849685	-0.156708976	-0.857456948
PBANKA_1126200	-0.326220354	-0.283718649	0.409001441	0.38832794	0.540039244	0.3366478	0.029104993	-0.649245945	-1.153911331	-1.881451574	-1.997032016	-2.089549983
PBANKA_1428700	1.063736164	0.382830662	0.355414018	0.203167076	0.247217955	-0.219904848	-0.779123792	-0.713093876	-0.916426862	-0.565978985	-0.312291458	-0.632101831
PBANKA_1418300	0.009839592	0.458358434	-0.035537405	0.134721367	-0.315150564	0.171613029	-0.241325971	-0.23833625	0.193805692	0.059469546	0.123803754	0.56879889
PBANKA_1440500	0.623163173	0.06018613	0.880453939	0.712358154	0.444409051	0.577178839	0.400187877	0.193531545	0.237211496	-0.483392101	-0.979549879	-1.69502957
PBANKA_1018500	0.234978151	-0.297915522	0.405920825	0.463339313	0.309825413	0.386641518	-0.086588871	-0.194800346	-0.086588871	-1.011496683	-0.297966945	-1.412950786
PBANKA_0315200	0.267344281	0.011399939	0.270041587	0.834374857	0.273012021	0.738482203	0.219991818	-0.631838049	-0.723483966	-1.870172535	-1.714342219	-0.005443741
PBANKA_1216500	-0.216094918	0.341498551	0.758797414	0.036517153	0.775150557	0.180581652	-0.156743466	-0.821017627	-1.684770218	-1.976191811	-1.534191462	-2.287235652
PBANKA_1359300	0.581171183	0.255505089	0.438564938	0.105595591	0.370237626	0.294455953	-0.348967491	-0.467241097	-0.671249646	-0.817146566	-1.003761753	-1.075575206
PBANKA_1401000	-0.270412687	-0.015010546	0.259834047	0.100307234	0.350313133	0.565432068	0.147078148	0.017172653	0.016479453	-0.16056892	-0.098755517	-0.105412727
PBANKA_0100700	-0.344225363	-0.044991307	-0.536047672	-0.27070358	-0.546996369	-0.458003715	-0.439414157	0.061382326	0.357886369	0.792302388	0.705943692	0.810179162
PBANKA_1346400	-1.353114426	-0.598560602	-1.637559865	-0.97473719	-1.351674916	-0.306493026	0.206687554	0.837064681	1.274581277	1.29270959	0.478518079	0.111161051
PBANKA_1316400	0.359040028	0.242655722	0.321078124	0.445453788	0.203376996	0.132948469	0.126613403	-0.372353728	-0.583371738	-0.828419804	-0.266639989	-1.229061515
PBANKA_0832600	0.252630232	-0.756744679	-0.099485142	0.184978272	0.559112015	0.984383058	0.27739247	-0.139847371	-0.692947153	-0.856886841	-1.689095945	-1.133166129
PBANKA_1305100	-0.010897752	-0.164403921	0.304834028	0.521817594	0.669282721	0.389626838	-0.15860782	-0.925051648	-1.167519878	-1.86769925	-0.882561141	-0.75409521
PBANKA_0418000	0.418863466	1.170651941	0.355549114	0.015250171	0.056424193	-0.152314961	-0.660312738	-0.92498453	-0.645697308	-0.597518878	0.449351196	0.410955122
PBANKA_0211500	-0.110868349	0.279599286	0.174886262	0.531616714	0.529730353	0.382852296	0.086077457	-0.504142393	-0.776986076	-1.215592276	-0.954872839	-1.377965319
PBANKA_0905000	0.08340247	0.808654925	0.180524853	0.204700771	-0.135423824	-0.050216316	0.271766181	-0.231550199	-0.747897455	-0.384206919	-0.237435919	-0.076487169
PBANKA_1346600	0.050255065	0.516300355	0.12610074	0.029057357	0.038329397	-0.059495579	-0.120408637	-0.489111834	-1.041529179	-0.566485606	-0.508486694	-0.987314821
PBANKA_1209800	-0.513318219	-0.287743181	0.162228773	0.074500772	0.288436898	0.103617237	0.262681701	0.084678961	-0.955907826	-1.063284365	-1.183621568	-1.642955156
PBANKA_1231000	0.210700751	0.254353314	0.375149839	0.259189217	0.32675861	0.090544881	-0.440814672	-0.926181157	-1.062664895	-1.803539438	-0.757111496	-0.310386556
