"","x"
"1","EEF_174"
"2","EEF_38"
"3","EEF_71"
"4","EEF_103"
"5","EEF_143"
"6","EEF_31"
"7","EEF_171"
"8","EEF_65"
"9","EEF_11"
"10","EEF_29"
"11","EEF_187"
"12","EEF_77"
"13","EEF_125"
"14","EEF_51"
"15","EEF_188"
"16","EEF_139"
"17","EEF_22"
"18","EEF_108"
"19","EEF_110"
"20","EEF_84"
"21","EEF_140"
"22","EEF_37"
"23","EEF_9"
"24","EEF_160"
"25","EEF_148"
"26","EEF_101"
"27","EEF_61"
"28","EEF_45"
"29","EEF_79"
"30","EEF_135"
"31","EEF_154"
"32","EEF_106"
"33","EEF_18"
"34","EEF_121"
"35","EEF_26"
"36","EEF_43"
"37","EEF_6"
"38","EEF_115"
"39","EEF_147"
"40","EEF_69"
"41","EEF_82"
"42","EEF_59"
"43","EEF_112"
"44","EEF_182"
"45","EEF_128"
"46","EEF_138"
"47","EEF_73"
"48","EEF_176"
"49","EEF_33"
"50","EEF_56"
"51","EEF_118"
"52","EEF_107"
"53","EEF_111"
"54","EEF_80"
"55","EEF_91"
"56","EEF_70"
"57","EEF_12"
"58","EEF_67"
"59","EEF_10"
"60","EEF_74"
"61","core_311"
"62","core_102"
"63","SC_Pber_Shz.91"
"64","SC_Pber_Shz.220"
"65","core_120"
"66","core_378"
"67","core_149"
"68","SC_Pber_Shz.378"
"69","core_336"
"70","core_355"
"71","core_240"
"72","SC_Pber_Shz.124"
"73","core_356"
"74","SC_Pber_Shz.284"
"75","core_284"
"76","SC_Pber_Shz.137"
"77","core_339"
"78","core_37"
"79","core_134"
"80","core_19"
"81","SC_Pber_Shz.302"
"82","core_301"
"83","core_36"
"84","core_128"
"85","core_156"
"86","core_305"
"87","SC_Pber_Shz.329"
"88","core_233"
"89","SC_Pber_Shz.111"
"90","core_126"
"91","core_367"
"92","SC_Pber_Shz.125"
"93","SC_Pber_Shz.266"
"94","core_286"
"95","core_127"
"96","core_266"
"97","core_80"
"98","core_330"
"99","core_323"
"100","core_334"
"101","SC_Pber_Shz.221"
"102","core_353"
"103","SC_Pber_Shz.62"
"104","SC_Pber_Shz.283"
"105","core_287"
"106","core_191"
"107","core_39"
"108","SC_Pber_Shz.320"
"109","SC_Pber_Shz.121"
"110","SC_Pber_Shz.270"
"111","core_60"
"112","core_54"
"113","core_204"
"114","core_8"
"115","core_242"
"116","core_208"
"117","SC_Pber_Shz.128"
"118","core_232"
"119","SC_Pber_Shz.249"
"120","core_268"
