,Clust,Core,overlap,clustnotcore,neither,notclustyescore,pval,adjpval
Oocyst,4,Oocyst,2,836,4081,836,1,1
Ookinete,4,Ookinete,0,838,4281,838,1,1
EEF,4,EEF,7,831,4225,831,1,1
Spz,4,Spz,0,838,4307,838,1,1
Ring,4,Ring,0,838,4316,838,1,1
Schizont,4,Schizont,0,838,4293,838,1,1
Trophozoite,4,Trophozoite,4,834,4285,834,1,1
Male,4,Male,0,838,4204,838,1,1
Female,4,Female,0,838,4192,838,1,1
Oocyst,5,Oocyst,29,708,4182,708,1,1
Ookinete,5,Ookinete,3,734,4382,734,1,1
EEF,5,EEF,0,737,4326,737,1,1
Spz,5,Spz,0,737,4408,737,1,1
Ring,5,Ring,0,737,4417,737,1,1
Schizont,5,Schizont,0,737,4394,737,1,1
Trophozoite,5,Trophozoite,0,737,4386,737,1,1
Male,5,Male,0,737,4305,737,1,1
Female,5,Female,0,737,4293,737,1,1
Oocyst,19,Oocyst,0,119,4800,119,1,1
Ookinete,19,Ookinete,0,119,5000,119,1,1
EEF,19,EEF,0,119,4944,119,1,1
Spz,19,Spz,0,119,5026,119,1,1
Ring,19,Ring,0,119,5035,119,1,1
Schizont,19,Schizont,0,119,5012,119,1,1
Trophozoite,19,Trophozoite,0,119,5004,119,1,1
Male,19,Male,0,119,4923,119,1,1
Female,19,Female,0,119,4911,119,1,1
Oocyst,1,Oocyst,0,40,4879,40,1,1
Ookinete,1,Ookinete,0,40,5079,40,1,1
EEF,1,EEF,0,40,5023,40,1,1
Spz,1,Spz,0,40,5105,40,1,1
Ring,1,Ring,0,40,5114,40,1,1
Schizont,1,Schizont,0,40,5091,40,1,1
Trophozoite,1,Trophozoite,0,40,5083,40,1,1
Male,1,Male,0,40,5002,40,1,1
Female,1,Female,0,40,4990,40,1,1
Oocyst,15,Oocyst,0,48,4871,48,1,1
Ookinete,15,Ookinete,23,25,5071,25,1.01E-36,1.01E-36
EEF,15,EEF,0,48,5015,48,1,1
Spz,15,Spz,0,48,5097,48,1,1
Ring,15,Ring,0,48,5106,48,1,1
Schizont,15,Schizont,0,48,5083,48,1,1
Trophozoite,15,Trophozoite,0,48,5075,48,1,1
Male,15,Male,0,48,4994,48,1,1
Female,15,Female,0,48,4982,48,1,1
Oocyst,12,Oocyst,0,114,4805,114,1,1
Ookinete,12,Ookinete,0,114,5005,114,1,1
EEF,12,EEF,0,114,4949,114,1,1
Spz,12,Spz,0,114,5031,114,1,1
Ring,12,Ring,0,114,5040,114,1,1
Schizont,12,Schizont,0,114,5017,114,1,1
Trophozoite,12,Trophozoite,0,114,5009,114,1,1
Male,12,Male,84,30,4928,30,2.69E-130,2.69E-130
Female,12,Female,0,114,4916,114,1,1
Oocyst,8,Oocyst,3,242,4674,242,0.999525297,0.999525297
Ookinete,8,Ookinete,8,237,4874,237,0.88125837,0.88125837
EEF,8,EEF,9,236,4818,236,0.808479788,0.808479788
Spz,8,Spz,0,245,4900,245,1,1
Ring,8,Ring,0,245,4909,245,1,1
Schizont,8,Schizont,1,244,4886,244,0.99999174,0.99999174
Trophozoite,8,Trophozoite,3,242,4878,242,0.999285934,0.999285934
Male,8,Male,1,244,4797,244,0.999993283,0.999993283
Female,8,Female,14,231,4785,231,0.250165374,0.250165374
Oocyst,13,Oocyst,0,76,4843,76,1,1
Ookinete,13,Ookinete,0,76,5043,76,1,1
EEF,13,EEF,0,76,4987,76,1,1
Spz,13,Spz,0,76,5069,76,1,1
Ring,13,Ring,0,76,5078,76,1,1
Schizont,13,Schizont,0,76,5055,76,1,1
Trophozoite,13,Trophozoite,0,76,5047,76,1,1
Male,13,Male,0,76,4966,76,1,1
Female,13,Female,54,22,4954,22,1.52E-91,1.52E-91
Oocyst,16,Oocyst,0,79,4840,79,1,1
Ookinete,16,Ookinete,0,79,5040,79,1,1
EEF,16,EEF,0,79,4984,79,1,1
