"","unique","stage"
"Oocyst.1","PBANKA_0100041","Oocyst"
"Oocyst.2","PBANKA_0100061","Oocyst"
"Oocyst.3","PBANKA_0100100","Oocyst"
"Oocyst.4","PBANKA_0101300","Oocyst"
"Oocyst.5","PBANKA_0108500","Oocyst"
"Oocyst.6","PBANKA_0110400","Oocyst"
"Oocyst.7","PBANKA_0110600","Oocyst"
"Oocyst.8","PBANKA_0112721","Oocyst"
"Oocyst.9","PBANKA_0201051","Oocyst"
"Oocyst.10","PBANKA_0202100","Oocyst"
"Oocyst.11","PBANKA_0202800","Oocyst"
"Oocyst.12","PBANKA_0204000","Oocyst"
"Oocyst.13","PBANKA_0205500","Oocyst"
"Oocyst.14","PBANKA_0205600","Oocyst"
"Oocyst.15","PBANKA_0205700","Oocyst"
"Oocyst.16","PBANKA_0206900","Oocyst"
"Oocyst.17","PBANKA_0207200","Oocyst"
"Oocyst.18","PBANKA_0212000","Oocyst"
"Oocyst.19","PBANKA_0302700","Oocyst"
"Oocyst.20","PBANKA_0304600","Oocyst"
"Oocyst.21","PBANKA_0307900","Oocyst"
"Oocyst.22","PBANKA_0310800","Oocyst"
"Oocyst.23","PBANKA_0312900","Oocyst"
"Oocyst.24","PBANKA_0313100","Oocyst"
"Oocyst.25","PBANKA_0314600","Oocyst"
"Oocyst.26","PBANKA_0315000","Oocyst"
"Oocyst.27","PBANKA_0315420","Oocyst"
"Oocyst.28","PBANKA_0315430","Oocyst"
"Oocyst.29","PBANKA_0401400","Oocyst"
"Oocyst.30","PBANKA_0406600","Oocyst"
"Oocyst.31","PBANKA_0410900","Oocyst"
"Oocyst.32","PBANKA_0413700","Oocyst"
"Oocyst.33","PBANKA_0506500","Oocyst"
"Oocyst.34","PBANKA_0510500","Oocyst"
"Oocyst.35","PBANKA_0516800","Oocyst"
"Oocyst.36","PBANKA_0517200","Oocyst"
"Oocyst.37","PBANKA_0518200","Oocyst"
"Oocyst.38","PBANKA_0601800","Oocyst"
"Oocyst.39","PBANKA_0602600","Oocyst"
"Oocyst.40","PBANKA_0607500","Oocyst"
"Oocyst.41","PBANKA_0612000","Oocyst"
"Oocyst.42","PBANKA_0613500","Oocyst"
